brand,currency,price,colors,name,sizes,categories
nike,usd,66.4,orange,new nike men's hypervenom phelon ii fg soccer cleat mtlc red bronze 13,3,"sporting goods,team sports,soccer,clothing, shoes & accessories,shoes & cleats,men"
woolrich,usd,150,"field tan canvas,brush brown canvas",woolrich  men beebe lace up boots,"8 m,10 m,12 m,11 m","all men's shoes,shoes,men's shoes,clothing"
blackberry,cad,160,tan nubucktan leather,sebago men's ryde two eye oxford,4,"shoes,clothing, shoes & jewelry,men,shoes & handbags"
nike,usd,119.99,whitegym redhyper redblack,nike shox turbo vi sl 555341-160 white/gym red/black men's running shoes size 7,7,"clothing, shoes & accessories,men's shoes,athletic"
softscience,usd,64.99,khaki,softscience men's dragonfly lace up fashion sneakers,4,"clothing,shoes,men's shoes,men's casual shoes"
nike,usd,100,green,nike men's free 5.0 running shoes,8,"men's running shoes,running shoes,running gear,fitness & exercise equipment,men's shoes,athletic & running shoes"
maui and sons,usd,25,"red,black,sketchy slant,yellow,blackblue,blackred,sharky tribe,pro ocean,blackblueyellow,gray,helms,blackgreenyellow,blue,green,black-white,black multi,grayblack",maui and sons david men  open toe synthetic  flip flop sandal,8,"all men's shoes,shoes,men's shoes,clothing"
maui and sons,usd,15.99,"red,black,sketchy slant,yellow,blackblue,blackred,sharky tribe,pro ocean,blackblueyellow,gray,helms,blackgreenyellow,blue,green,black-white,black multi,grayblack",maui and sons david men  open toe synthetic  flip flop sandal,12,"all men's shoes,shoes,men's shoes,clothing"
maui and sons,usd,9.99,"red,black,sketchy slant,yellow,blackblue,blackred,sharky tribe,pro ocean,blackblueyellow,gray,helms,blackgreenyellow,blue,green,black-white,black multi,grayblack",maui and sons david men  open toe synthetic  flip flop sandal,4,"all men's shoes,shoes,men's shoes,clothing"
hao-bo,aud,37.99,brown,men's faux leather business handbag messenger shoulder briefcase laptop bag,9,"clothing, shoes, accessories,bags, briefcases,men's accessories"
twisted x,usd,299.99,red,twisted x western boots mens buckaroo spur ridge crazy horse mbkl012,12,"clothing,shoes,men's shoes,all men's shoes"
lacoste,usd,124.95,dark grey,lacoste mens mokara 416 sneakers in dark grey,3,"all men's shoes,shoes,men's shoes,clothing"
lacoste,usd,124.95,dark grey,lacoste mens mokara 416 sneakers in dark grey,3,"all men's shoes,shoes,men's shoes,clothing"
rubies,usd,60.02,black,rubies costume adult mens regency plush santa claus christmas suit | x-large,xl,"men's halloween costumes,adult halloween costumes,clothing, shoes & accessories,halloween,men,costumes, reenactment, theater,all costumes,costumes,party & occasions"
rubies,usd,54.22,brown,rubies costume adult mens regency plush santa claus christmas suit | x-large,xl,"men's halloween costumes,adult halloween costumes,clothing, shoes & accessories,halloween,men,costumes, reenactment, theater,all costumes,costumes,party & occasions"
rubies,usd,44.99,green,rubies costume adult mens regency plush santa claus christmas suit | x-large,xl,"men's halloween costumes,adult halloween costumes,clothing, shoes & accessories,halloween,men,costumes, reenactment, theater,all costumes,costumes,party & occasions"
